Training;TWI;SLOPE;PROFC;PLANC;NDVI;LANDUSE;GEOM;GEO;ELEV;ASP
1;4.270026;25.433514;-0.003999;0.001086;0.689381;7;1;10;34.299133;343.408997
1;3.675982;41.148705;-0.000698;0.004987;0.564954;7;1;3;690.47168;341.981995
1;4.693283;21.468746;-0.013323;-0.004279;0.634928;7;1;10;50.703056;339.474548
1;4.681704;20.167137;-0.004329;-0.009855;0.692341;7;1;10;48.112511;47.598846
1;4.918701;15.931334;0.001901;0.001405;0.653896;7;1;10;45.065857;11.059301
1;4.502919;22.917233;0.006069;0.000427;0.659995;7;1;10;44.167198;6.210235
1;3.642776;39.96228;-0.00822;0.003366;0.649389;7;1;10;49.564606;350.926697
1;4.878195;18.755634;-7.60E-05;-0.003551;0.64981;3;1;9;77.240257;341.966431
1;4.909231;24.868452;-0.007043;-0.017398;0.655551;7;1;10;57.390057;189.644379
1;4.575446;23.84486;-0.004166;-0.005057;0.62812;7;1;10;58.981255;339.186371
1;4.207469;27.487923;0.002955;0.001361;0.664654;7;1;10;53.420979;350.540222
1;4.453461;20.779881;0.027443;-0.006063;0.626072;7;1;10;58.223595;335.475586
1;4.637539;18.472425;0.003329;-0.00518;0.636517;3;1;12;14.057912;115.541504
1;4.437692;21.999033;0.021503;0.000948;0.673295;3;1;10;93.49865;24.161091
1;4.40051;25.291695;-0.005271;-0.003504;0.69019;3;1;9;87.880569;356.334351
1;4.837548;26.043179;-0.000586;-0.03337;0.646877;7;1;10;26.653728;146.184296
1;4.415081;22.955393;0.006858;0.008473;0.641731;7;1;10;121.141739;128.518738
1;3.778136;39.464298;-0.006835;-0.002387;0.661386;7;1;10;21.305454;136.633362
1;3.850751;35.178818;0.013397;0.009542;0.694881;3;1;3;248.747467;106.491791
1;4.028235;32.697525;0.005042;0.001576;0.698928;3;1;3;216.575424;99.838608
1;4.417999;22.391495;0.007513;0.001502;0.655742;3;1;3;273.210175;101.49437
1;4.452417;22.750673;0.000305;0.005635;0.626928;7;1;3;287.697021;107.433884
1;5.347847;21.068951;-0.023929;-0.050994;0.574625;3;1;3;183.638016;131.564209
1;4.213573;28.732376;0.006547;0.008647;0.674208;3;1;3;218.74826;70.975479
1;4.716466;21.914764;0.001846;-0.009995;0.660197;3;1;3;265.181702;128.952835
1;4.201986;28.321301;0.003006;0.009727;0.590063;3;1;3;254.584366;140.689789
1;4.305745;24.652802;-0.004478;0.003361;0.575443;3;1;3;247.188873;130.928833
1;4.078796;27.809528;0.013833;0.007746;0.583105;3;1;10;177.945618;88.225304
1;5.367949;35.583092;-0.005517;-0.063029;0.651049;3;1;10;165.432068;29.502211
1;4.307356;27.413042;0.001082;0.005561;0.638317;3;1;3;252.644119;83.303772
1;3.865033;33.115341;0.012432;0.028229;0.588971;3;1;10;189.065903;52.3377
1;2.579716;68.514046;0.014948;-0.0021;0.633576;6;3;2;122.431877;1.664649
